Datetime,Total,Used,Free,Usage
2024-12-03 01:02:14.051043,51714211840,28210380800,20843700224,54.55
2024-12-03 01:04:37.440912,51714211840,28212588544,20841492480,54.55
2024-12-03 01:07:44.765994,51714211840,28214067200,20840013824,54.56
2024-12-03 01:08:47.649626,51714211840,28222132224,20831948800,54.57
2024-12-03 01:09:48.715538,51714211840,28823535616,20230545408,55.74
2024-12-03 01:09:57.558717,51714211840,29107208192,19946872832,56.28
2024-12-03 01:10:07.917085,51714211840,29550305280,19503775744,57.14
2024-12-03 01:10:18.427742,51714211840,29938622464,19115458560,57.89
2024-12-03 01:10:28.492104,51714211840,29938831360,19115249664,57.89
2024-12-03 01:10:38.561627,51714211840,29951225856,19102855168,57.92
2024-12-03 01:10:48.610715,51714211840,29955813376,19098267648,57.93
2024-12-03 01:10:58.658875,51714211840,29955837952,19098243072,57.93
